date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:06	637/637	---M--	200	added ('OK')	image/svg+xml	etag:%2227d-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_video.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_video.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:06	1141/1141	---M--	200	added ('OK')	image/svg+xml	etag:%22475-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_oembed.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_oembed.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:08	1167/1167	---M--	200	added ('OK')	image/svg+xml	etag:%2248f-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_portfoliogrid.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_portfoliogrid.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:08	1141/1141	---M--	200	added ('OK')	image/svg+xml	etag:%22475-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_code.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_code.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:10	4021/4021	---M--	200	added ('OK')	image/svg+xml	etag:%22fb5-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_dribbble.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_dribbble.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:12	1385/1385	---M--	200	added ('OK')	image/svg+xml	etag:%22569-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_instagram.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_instagram.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:14	1401/1401	---M--	200	added ('OK')	image/svg+xml	etag:%22579-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_beforeafter.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_beforeafter.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:16	568/568	---M--	200	added ('OK')	image/svg+xml	etag:%22238-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/frontend/icons/password_submit.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/icons/password_submit.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:18	157610/157610	---M--	200	added ('OK')	application/javascript	etag:%22267aa-5b075c75d5c80%22	http://localhost/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.16	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/mediaelement/mediaelement-and-player.min08e1.js	(from http://localhost/)
17:04:18	4350/4350	---M--	200	added ('OK')	image/svg+xml	etag:%2210fe-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_old.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_old.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:20	2246/2246	---M--	200	added ('OK')	image/svg+xml	etag:%228c6-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_recent.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_recent.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:22	18197/18197	---M--	200	added ('OK')	image/png	etag:%224715-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/frontend/mediaelement/bigplay.png	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/mediaelement/bigplay.png	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:22	547/547	---M--	200	added ('OK')	image/png	etag:%22223-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.png	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.png	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:22	3190/3190	---M--	200	added ('OK')	image/svg+xml	etag:%22c76-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:28	19287/19287	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Feb%202021%2016:04:23%20GMT	http://localhost/wp-content/themes/semplice5/assets/images/frontend/photoswipe/preloader.gif	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/frontend/photoswipe/preloader.gif	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:30	4598/4598	---M--	200	added ('OK')	image/svg+xml	etag:%2211f6-555a9cb3a8fc0%22	http://localhost/wp-includes/js/mediaelement/mejs-controls.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/mediaelement/mejs-controls.svg	(from http://localhost/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16)
17:04:46	502770/502770	---M--	200	added ('OK')	application/javascript	etag:%227abf2-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/js/frontend.scripts.min.js?ver=5.1.4	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/js/frontend.scripts.min58e0.js	(from http://localhost/)
